20,Luxury marble top square dining table set with metal leg dining room furniture,"140*80*75CM, 160*85*75CM, 180*90*75CM, 200*100*75CM",$330.00 - $500.00,"//sc01.alicdn.com/kf/H145dc02764154192ab4874897eb031c1i.jpg, //sc02.alicdn.com/kf/H7fa4590135534d26af34340cffde7ed2f.jpg, //sc01.alicdn.com/kf/H3867ad572a3f403ea865ffbcd8332184z.jpg, //sc02.alicdn.com/kf/H3afa20db60a546059f3d97b4cf18008bT.jpg, //sc01.alicdn.com/kf/H5f6ab8b511134a62aa343412c5a309b6h.jpg",https://fscalla.en.alibaba.com/product/62567021393-817010597/Luxury_marble_top_square_dining_table_set_with_metal_leg_dining_room_furniture.html,DT-21
21,Luxury design dining table set modern dinner table with chairs marble dining room furniture,"140*80*75CM, 160*85*75CM, 130*80*75CM",$200.00 - $350.00,"//sc01.alicdn.com/kf/H29c3ba81148d46b0822340cb96e093a4V.jpg, //sc01.alicdn.com/kf/Hf33da3ca503441e6a810bc3f7db035a4A.jpg, //sc01.alicdn.com/kf/H1cd80bf52c8645d8b3a4f6a803d1af900.jpg, //sc02.alicdn.com/kf/H88b603bbb9914b6fae75b1f48237b82bI.jpg",https://fscalla.en.alibaba.com/product/62570040696-817010597/Luxury_design_dining_table_set_modern_dinner_table_with_chairs_marble_dining_room_furniture.html,DT-22
22,Dining room furniture Iron Metal  frame Stone Slate Top Extendable Dining Table,120cm*88cm*77cm (extend size 180CM*88CM*77cm),"1 - 9 Pieces, $530.00, 10 - 99 Pieces, $510.00, >=100 Pieces, $500.00","https://img.alicdn.com/imgextra/i2/6000000002577/O1CN01PTTs8r1UuJGDaeGpL_!!6000000002577-0-tbvideo.jpg, //sc01.alicdn.com/kf/H4418af802f6e493da63fa4cbf70f3ff0L.jpg, //sc01.alicdn.com/kf/H98c04f89d9e84db78abc278b296c948bM.jpg, //sc02.alicdn.com/kf/Hf6d26074c5f9429a819db673321727f9v.jpg, //sc01.alicdn.com/kf/H5b9c98556c944c2f8b52fabf3ce0d827k.jpg, //sc02.alicdn.com/kf/Had6ee331b1af4a93bcff5e7d71bd495fD.jpg",https://fscalla.en.alibaba.com/product/62584399606-817010597/Dining_room_furniture_Iron_Metal_frame_Stone_Slate_Top_Extendable_Dining_Table.html,DT-23
23,Modern furniture white ash wood Stone Slate Top dining table set with 4/6 chairs,"120*80*75CM, 130*80*75CM, 140*80*75CM, 160*80*75CM, 180*90*75CM, 200*100*75CM, Chair1:54*48*88CM, Chair2:53*47*79CM",$51.00 - $390.00,"//sc01.alicdn.com/kf/H6e3aacf598494a8eb6e67638a093b10cl.jpg, //sc01.alicdn.com/kf/H8e93692f72fd49d8a7feb87ba0a6d44ee.jpg, //sc02.alicdn.com/kf/Haf43542edcb24cbcbf45e7114593cf5c9.jpg, //sc01.alicdn.com/kf/H6064690c670a4b52826737bc28f3124db.jpg, //sc01.alicdn.com/kf/Hab3b3dfd06644e33936ad2a5b9d57645g.jpg, //sc01.alicdn.com/kf/H15cd40a19f494e5d9eb3cdaa414efaf5i.jpg",https://fscalla.en.alibaba.com/product/62580578409-817010597/Modern_furniture_white_ash_wood_Stone_Slate_Top_dining_table_set_with_4_6_chairs.html,DT-24
24,dining room furniture gold Steel frame 6 chairs dining room chair and table sets furniture,50*48*110,$90.00 - $395.00,"//sc01.alicdn.com/kf/Hd08dc065dc9a41c29b5bc00776e235e23.jpg, //sc01.alicdn.com/kf/H055e99bf03654323be75ac02a298e1cdd.jpg, //sc02.alicdn.com/kf/H3738e23e4dd94d4abc40e5f6aebdeaecN.jpg, //sc01.alicdn.com/kf/H29f560e0fd57407b86364f50aee2fda3k.jpg, //sc02.alicdn.com/kf/H62cda4c18b9c46c78cfae39edd3672793.jpg, //sc02.alicdn.com/kf/H821a5270c5c64514ade3d830fee3459ab.jpg",https://fscalla.en.alibaba.com/product/62471726880-817010597/dining_room_furniture_gold_Steel_frame_6_chairs_dining_room_chair_and_table_sets_furniture.html,DT-25
25,Modern White wood wax dining table and chairs set stainless steel leg tempered glass top,"120*70*75CM, 130*80*75CM, 140*80*75CM, 160*90*75CM",$200.00 - $350.00,"//sc01.alicdn.com/kf/H08394e2e852545cbbef429de7f14f9866.jpg, //sc01.alicdn.com/kf/H65296629fa024d3a9b7ce03e1b27878aK.jpg, //sc01.alicdn.com/kf/H161b4f9238aa442a9f06e5fd2536d420A.jpg, //sc02.alicdn.com/kf/H52530c962c494cec9cf3b018f5fb723fI.jpg",https://fscalla.en.alibaba.com/product/62570954870-817010597/Modern_White_wood_wax_dining_table_and_chairs_set_stainless_steel_leg_tempered_glass_top.html,DT-26
26,Nordic Leisure Wood Cafe Hotel Bar Home Dining Chair for marble table set,47*48*91CM,$45.00 - $50.00,"//sc02.alicdn.com/kf/H9994201bf3c54227a49cbd7b2fc11ae24.jpg, //sc01.alicdn.com/kf/H2d8c4fa03108486989a0130fb734c5c2M.jpg, //sc01.alicdn.com/kf/H20caabd2504c4d2caec9bcf387fe9625G.jpg, //sc01.alicdn.com/kf/H27d7419075794e44b207f876a8a7d083r.jpg, //sc01.alicdn.com/kf/H9bff4982b7a64c11b1f6fb622beec4f5o.jpg, //sc01.alicdn.com/kf/Hdd1bb44be05448eaa38341fb4d9d08d2m.jpg",https://fscalla.en.alibaba.com/product/62564923857-817010597/Nordic_Leisure_Wood_Cafe_Hotel_Bar_Home_Dining_Chair_for_marble_table_set.html,DT-27
27,American Style Indoor Cafe Home Living Dining Room Chair and table set,"Chair:63*52*84, table:60*60*75CM",$55.00 - $115.00,"//sc01.alicdn.com/kf/H33abc2a394b147bea2807eda6f31dbba1.jpg, //sc01.alicdn.com/kf/Hf0d346f72cc947c7950989d8b0f98d73i.jpg, //sc01.alicdn.com/kf/H7c33a9bb759e41629238cddece786a02d.jpg, //sc02.alicdn.com/kf/Hd0abad57cec447069a595030e318763bb.jpg, //sc02.alicdn.com/kf/H6365b8314de64cfba4237b1744fc34d7u.jpg, //sc02.alicdn.com/kf/H8753b11430eb40bdb81469818900bbc0q.jpg",https://fscalla.en.alibaba.com/product/62512543921-817010597/American_Style_Indoor_Cafe_Home_Living_Dining_Room_Chair_and_table_set.html,DT-28
28,hot sale Cafe room modern design velvet party chair and table set,"Chair:50*54*80, table:60*60*75CM",$55.00 - $115.00,"//sc01.alicdn.com/kf/H53362599b3e549be91d9cbd07e1fc96ax.jpg, //sc02.alicdn.com/kf/H559049bfffb34d9db37ec13c1efe63430.jpg, //sc02.alicdn.com/kf/H4e21d5c1312241bd861454d9ac13d470A.jpg, //sc01.alicdn.com/kf/H1f5e2d55ad684538abc38585203fc41b9.jpg, //sc01.alicdn.com/kf/Hfaa9b42786504457b495365a81a260f5g.jpg, //sc01.alicdn.com/kf/Hdae2fed7b2854c58aff62b2dbf478913C.jpg",https://fscalla.en.alibaba.com/product/62512445504-817010597/hot_sale_Cafe_room_modern_design_velvet_party_chair_and_table_set.html,DT-29
29,Luxury Gold Metal frame round marble top marble turntable dinner table for dining room furniture,"130*75CM, 150*75CM",$240.00 - $275.00,"//sc02.alicdn.com/kf/H00b1d0d8ee754697b7161abcf63e91db2.jpg, //sc02.alicdn.com/kf/Ha527295472db4611b55250cbf52e008cr.jpg, //sc01.alicdn.com/kf/H810d586025d34ce188bead036d29e118o.jpg, //sc01.alicdn.com/kf/H315e187c52904b75bb1244c1ee56d53fn.jpg, //sc02.alicdn.com/kf/H2f9629cf2d8c4b0592c3795f7df8f0b0y.jpg, //sc01.alicdn.com/kf/Hac489e1922aa4b8096e0a350dc6f1304h.jpg",https://fscalla.en.alibaba.com/product/1600098098900-817010597/Luxury_Gold_Metal_frame_round_marble_top_marble_turntable_dinner_table_for_dining_room_furniture.html,DT-30
